CAV3,51.6425,-121.3069444
CZML,51.73611111,-121.3327778
CYXX,49.02527778,-122.3605556
CYAL,50.58222222,-126.9155556
CAJ4,52.45222222,-125.3044444
CYSQ,59.57666667,-133.6688889
CAS3,53.08805556,-121.5152778
CBA8,53.85555556,-122.9075
CBBC,52.185,-128.1566667
CYJQ,52.13972222,-128.0636111
CYBD,52.3875,-126.5958333
CYCP,52.12416667,-119.2925
CBW4,56.96666667,-130.25
CYPZ,54.37638889,-125.9513889
CAZ5,50.78333333,-121.3166667
CYBL,49.95083333,-125.2708333
CYCG,49.29638889,-117.6325
CYCQ,55.68722222,-121.6266667
CAG3,51.62611111,-124.1419444
CYCW,49.15277778,-121.9388889
CBR4,51.26638889,-121.6847222
CYQQ,49.71083333,-124.8866667
CCI9,50.02361111,-124.9841667
CCS6,49.66666667,-125.1
CAH3,49.67944444,-124.9816667
CYXC,49.61222222,-115.7819444
CAR2,49.66666667,-116.8166667
CAJ3,49.03666667,-116.4980556
CDC3,55.82055556,-120.4527778
CYDQ,55.74222222,-120.1830556
CYDL,58.42222222,-130.0322222
CZBB,49.07388889,-123.0075
CAK3,49.07361111,-122.9411111
CAL3,50.16666667,-120.1833333
CAM3,48.75833333,-123.7166667
CBJ4,51.24166667,-121.9941667
CBU2,57.84722222,-129.9827778
CBL9,51.51277778,-123.8044444
CBE2,49.28333333,-115.15
CYCZ,50.33027778,-115.8733333
CBW3,56.52166667,-124.4683333
CBQ2,49.16777778,-122.5547222
CYYE,58.83638889,-122.5969444
CBL3,58.81666667,-122.7833333
CYJM,54.39722222,-124.2627778
CYXJ,56.23805556,-120.7402778
CAJ9,57.42722222,-125.6502778
CBZ9,54.01333333,-124.7683333
CAY2,51.55166667,-122.3269444
CYGE,51.29916667,-116.9825
CZGF,49.01555556,-118.4305556
CBG2,51.42944444,-121.2097222
CBH2,59.42583333,-120.7975
CYHE,49.36833333,-121.4980556
CAM5,54.43333333,-126.7833333
CYNH,56.03555556,-121.9758333
CAP6,56.79055556,-124.8966667
CAA8,50.51666667,-116
CKN3,58.04166667,-120.9094444
CYKA,50.7025,-120.4486111
CBR2,49.90361111,-116.9352778
CYLW,49.95722222,-119.3777778
CBQ7,56.97444444,-126.7411111
CBW2,54.16388889,-128.5808333
CYNJ,49.10111111,-122.6305556
69S,48.99833333,-118.2227778
CAX5,52.61666667,-121.5
CAR3,50.67472222,-121.8936111
CBF9,50.60888889,-118.7311111
CYZY,55.29944444,-123.1333333
CZMT,54.02722222,-132.125
CAV4,53.315,-120.1705556
CAD5,50.12277778,-120.7472222
CBM6,49.01,-118.7897222
CAS2,53.07333333,-125.4091667
CBS4,59.78555556,-136.5830556
CAQ5,50.26638889,-117.8127778
CYCD,49.05222222,-123.8702778
CAT3,49.21666667,-124.0166667
CAC8,49.18333333,-123.95
CZNL,49.49416667,-117.3005556
CDC5,52.01083333,-121.2111111
CAU3,49.17333333,-119.5511111
CBB9,49.03722222,-119.4888889
CBA9,56.27083333,-124.0638889
CPD7,59.31888889,-120.2772222
CYPS,50.3025,-122.7377778
CYYF,49.46305556,-119.6016667
CYPK,49.21611111,-122.71
CBS8,49.32194444,-124.9311111
CYZT,50.68055556,-127.3666667
CAT5,50.57555556,-127.0286111
CYPW,49.83416667,-124.5002778
CYXS,53.88416667,-122.6775
CYPR,54.28611111,-130.4447222
CZSW,54.33333333,-130.2833333
CYDC,49.46805556,-120.5113889
CYPU,52.11277778,-124.1447222
CAT4,49.33722222,-124.3938889
CML2,48.81194444,-123.6505556
CAZ4,52.9825,-122.5002778
CYQZ,53.02611111,-122.5102778
CBK6,52.515,-121.045
CBT6,50.16666667,-120.5
CBL6,50.63333333,-116.1
CYRV,50.96666667,-118.1833333
CZAM,50.68277778,-119.2286111
CYZP,53.25416667,-131.8138889
CAW3,51.8,-123.5833333
CAP3,49.46055556,-123.7186111
CSQ2,50.87888889,-119.5902778
CYYD,54.82527778,-127.1827778
CYSW,49.83333333,-114.8833333
CAQ4,51.95555556,-122.1394444
CYSE,49.78166667,-123.1619444
CZST,55.93333333,-129.9833333
CSK8,49.095,-122.8194444
CBM5,57.91666667,-131.1166667
CYXT,54.46861111,-128.5783333
CYGB,49.69416667,-124.5177778
CBB7,49.74305556,-122.1630556
CBK7,58.84944444,-125.24
CYAZ,49.08222222,-125.7725
CAD4,49.05555556,-117.6091667
CAE4,53.01666667,-124.8333333
CBN9,56.90611111,-124.965
CBT3,52.97194444,-125.0266667
CAF4,51.53333333,-124.1666667
CBX7,55.025,-120.9347222
CAH4,52.85277778,-119.3363889
CYVR,49.19472222,-123.1838889
CAM9,49.18333333,-123.1666667
CGL6,49.25472222,-122.9352778
CYHC,49.29444444,-123.1113889
CAU4,54.04611111,-124.0125
CYVK,50.24611111,-119.3308333
CYYJ,48.64694444,-123.4258333
CYWL,52.18333333,-122.0544444
CBQ8,55.06666667,-128.2333333
